姓名,身份证号,险种,费用月份,缴费基数,单位缴费额,个人缴费额,参保状态,申报到账月份
张三,430105199001011234,养老保险,2026-04,6000.00,1234.00,480.00,正常,2026-04
张三,430105199001011234,医疗保险,2026-04,6000.00,600.00,200.00,正常,2026-04
张三,430105199001011234,失业保险,2026-04,6000.00,60.00,60.00,正常,2026-04
张三,430105199001011234,工伤保险,2026-04,6000.00,24.00,0.00,正常,2026-04
张三,430105199001011234,生育保险,2026-04,6000.00,60.00,0.00,正常,2026-04
李四,430106199102022345,养老保险,2026-04,4500.00,925.00,360.00,正常,2026-04
李四,430106199102022345,医疗保险,2026-04,4500.00,450.00,150.00,正常,2026-04
李四,430106199102022345,失业保险,2026-04,4500.00,45.00,45.00,正常,2026-04
李四,430106199102022345,工伤保险,2026-04,4500.00,18.00,0.00,正常,2026-04
李四,430106199102022345,生育保险,2026-04,4500.00,45.00,0.00,正常,2026-04
王五,430107199203033456,住房公积金,2026-04,3000.00,300.00,300.00,正常,2026-04
赵六,430108199304044567,养老保险,2026-04,8000.00,1648.00,640.00,正常,2026-04
赵六,430108199304044567,医疗保险,2026-04,8000.00,800.00,280.00,正常,2026-04
